150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
210万,单价25991元/平米,锦绣趣园 大两房出售,锦绣生态园趣园 , | 2室2厅 | 80.8平米 | 南 | 简装 | 无电梯,高楼层(共6层)2005年建塔楼  -  ,29人关注 / 共0次带看 / 5个月以前发布,
300万,单价37500元/平米,广州雅居乐花园一尺山居 精装两房 望花园,广州雅居乐花园一尺山居 , | 2室2厅 | 80平米 | 北 | 精装 | 有电梯,低楼层(共23层)2010年建塔楼  -  ,34人关注 / 共0次带看 / 6个月以前发布,
215万,单价33334元/平米,雅居乐城南源著 精装一房一厅单位,雅居乐城南源著 , | 1室1厅 | 64.5平米 | 西 | 精装 | 有电梯,低楼层(共12层)2013年建塔楼  -  ,57人关注 / 共0次带看 / 一年前发布,
290万,单价32955元/平米,翠宏台 两房改三房 人车分流  望花园,华南碧桂园翠宏台 , | 3室2厅 | 88平米 | 东 | 精装 | 无电梯,低楼层(共7层)2001年建塔楼  -  ,13人关注 / 共8次带看 / 9个月以前发布,
490万,单价26703元/平米,祈福新村月明轩 精品半山复式洋房,祈福新村月明轩 , | 4室2厅 | 183.5平米 | 北 | 精装 | 无电梯,高楼层(共6层)1995年建塔楼  -  ,12人关注 / 共0次带看 / 5个月以前发布,
180万,单价10715元/平米,海傍后街 户型方正 生活便利 大户型,海傍路海傍后街 , | 4室1厅 | 168平米 | 南 | 简装,低楼层(共6层)塔楼  -  ,37人关注 / 共2次带看 / 4个月以前发布,
231.8万,单价29818元/平米,媒体北村 单边高层 标准户型,亚运城媒体北村 , | 2室2厅 | 77.74平米 | 南 | 简装 | 有电梯,高楼层(共18层)塔楼  -  ,41人关注 / 共30次带看 / 5个月以前发布,
98万,单价14813元/平米,雄峰毛坯复式公寓出售,雄峰城 , | 1室1厅 | 66.16平米 | 南 | 毛坯 | 有电梯,中楼层(共27层)2007年建塔楼  -  ,47人关注 / 共1次带看 / 10个月以前发布,
520万,单价33819元/平米,诺德名都 南向四房 采光充足,自在城市花园三期诺德名都 , | 4室2厅 | 153.76平米 | 南 | 毛坯 | 有电梯,低楼层(共33层)塔楼  -  ,5人关注 / 共0次带看 / 6个月以前发布,
580万,单价38158元/平米,广州星河湾荟心园 3室2厅 580万,广州星河湾荟心园 , | 3室2厅 | 152平米 | 南 北 | 精装 | 有电梯,低楼层(共18层)2001年建塔楼  -  ,2人关注 / 共2次带看 / 3个月以前发布,
215万,单价24856元/平米,华侨城 南向舒适三房 看房随时方便,华侨城(番禺) , | 3室1厅 | 86.5平米 | 南 | 简装 | 有电梯,中楼层(共12层)1999年建塔楼  -  ,14人关注 / 共5次带看 / 3个月以前发布,
235万,单价30922元/平米,海晴三房南向 采光好 有钥匙随时可看,祈福新村海晴居 , | 3室2厅 | 76平米 | 南 | 简装 | 无电梯,高楼层(共6层)2003年建板楼  -  ,21人关注 / 共0次带看 / 3个月以前发布,
505万,单价32372元/平米,广州奥林匹克花园 6室2厅 505万,广州奥林匹克花园 , | 6室2厅 | 156平米 | 南 | 简装 | 无电梯,高楼层(共6层)2002年建板楼  -  ,13人关注 / 共1次带看 / 3个月以前发布,
260万,单价23712元/平米,水韵蓝湾   南向电梯三房  带装修,水韵蓝湾南区 , | 3室2厅 | 109.65平米 | 南 | 简装 | 有电梯,中楼层(共17层)2010年建塔楼  -  ,6人关注 / 共2次带看 / 3个月以前发布,
480万,单价20717元/平米,丽江花园康城居 4室2厅 480万,丽江花园康城居 , | 4室2厅 | 231.7平米 | 西南 | 其他 | 有电梯,高楼层(共9层)1999年建塔楼  -  ,8人关注 / 共1次带看 / 3个月以前发布,
428万,单价34600元/平米,广州奥林匹克花园 4室2厅 428万,广州奥林匹克花园 , | 4室2厅 | 123.7平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  ,6人关注 / 共2次带看 / 2个月以前发布,
143万,单价27291元/平米,吉祥楼 2室1厅 143万,吉祥楼 , | 2室1厅 | 52.4平米 | 东北 | 简装 | 无电梯,中楼层(共8层)1998年建塔楼  -  ,31人关注 / 共7次带看 / 2个月以前发布,
220万,单价20755元/平米,康乐园 3室2厅 220万,康乐园 , | 3室2厅 | 106平米 | 南 | 简装 | 无电梯,高楼层(共7层)1994年建塔楼  -  ,31人关注 / 共1次带看 / 2个月以前发布,
400万,单价33334元/平米,海龙湾 4室2厅 400万,海龙湾 , | 4室2厅 | 120平米 | 东北 | 精装 | 有电梯,中楼层(共16层)2004年建塔楼  -  ,5人关注 / 共1次带看 / 2个月以前发布,
288万,单价25946元/平米,东方白云花园 三卧朝南  精装修,东方白云花园 , | 3室2厅 | 111平米 | 东南 | 精装 | 有电梯,低楼层(共15层)2005年建塔楼  -  ,13人关注 / 共1次带看 / 2个月以前发布,
112万,单价22223元/平米,方正两房，低楼层=。比较实用的两房,富丽家园华贵大厦 , | 2室1厅 | 50.4平米 | 南 | 简装 | 无电梯,低楼层(共9层)1995年建塔楼  -  ,41人关注 / 共5次带看 / 2个月以前发布,
389万,单价36390元/平米,一楼四房两厅两卫南向大四房，带70方大花园tig,祈福新村绿怡居 , | 4室2厅 | 106.9平米 | 南 | 其他 | 无电梯,低楼层(共4层)1995年建板楼  -  ,3人关注 / 共5次带看 / 2个月以前发布,
300万,单价30000元/平米,丽江花园华林居 3室2厅 300万,丽江花园华林居 , | 3室2厅 | 100平米 | 西南 | 其他 | 无电梯,中楼层(共5层)1997年建塔楼  -  ,5人关注 / 共8次带看 / 1个月以前发布,
198万,单价16026元/平米,万丰路 4室2厅 198万,万丰路 , | 4室2厅 | 123.55平米 | 南 | 精装 | 无电梯,中楼层(共8层)塔楼  -  ,28人关注 / 共18次带看 / 1个月以前发布,
420万,单价26250元/平米,祈福新村A区 4室2厅 420万,祈福新村A区 ,  | 独栋别墅 | 4室2厅 | 160平米 | 北 | 其他 | 无电梯,1层1995年建暂无数据  -  ,16人关注 / 共9次带看 / 1个月以前发布,
550万,单价34098元/平米,越秀可逸江畔 3室2厅 550万,越秀可逸江畔 , | 3室2厅 | 161.3平米 | 东南 | 其他 | 有电梯,高楼层(共13层)2012年建塔楼  -  ,6人关注 / 共2次带看 / 1个月以前发布,
430万,单价16667元/平米,东平苑 舒适五房 交通便利 宜居实用,东平苑 , | 5室2厅 | 258平米 | 南 | 其他 | 无电梯,中楼层(共6层)板楼  -  ,1人关注 / 共0次带看 / 30天以前发布,
330万,单价17184元/平米,倚莲半岛花园   3+1房  莲花山景区,倚莲半岛花园 , | 4室2厅 | 192.05平米 | 南 | 毛坯,低楼层(共14层)塔楼  -  ,1人关注 / 共0次带看 / 29天以前发布,
368万,单价30770元/平米,富庭华园 方正南向四房 装修保养好,富庭华园 , | 4室2厅 | 119.6平米 | 南 | 其他 | 无电梯,中楼层(共7层)2002年建塔楼  -  ,3人关注 / 共0次带看 / 29天以前发布,
1000万,单价42017元/平米,锦绣香江花园山水园 5室2厅 1000万,锦绣香江花园山水园 , | 5室2厅 | 238平米 | 西南 | 其他 | 有电梯,高楼层(共11层)2004年建塔楼  -  ,0人关注 / 共3次带看 / 28天以前发布,
480万,单价30574元/平米,祈福新村月明轩 4室2厅 480万,祈福新村月明轩 , | 4室2厅 | 157平米 | 北 | 其他 | 无电梯,高楼层(共6层)1995年建塔楼  -  ,0人关注 / 共0次带看 / 27天以前发布,
830万,单价30073元/平米,祈福新村倚云居 5室2厅 830万,祈福新村倚云居 , | 5室2厅 | 276平米 | 西南 | 其他 | 有电梯,高楼层(共31层)2004年建塔楼  -  ,0人关注 / 共1次带看 / 27天以前发布,
159.6万,单价25134元/平米,祈福新村C区 2室1厅 159.6万,祈福新村C区 , | 2室1厅 | 63.5平米 | 北 | 其他 | 无电梯,中楼层(共4层)1995年建板楼  -  ,13人关注 / 共2次带看 / 27天以前发布,
290万,单价36250元/平米,祈福新村湖景居 3室2厅 290万,祈福新村湖景居 , | 3室2厅 | 80平米 | 北 | 其他 | 无电梯,低楼层(共4层)1995年建板楼  -  ,0人关注 / 共3次带看 / 27天以前发布,
650万,单价39878元/平米,祈福新村祈福名都 5室2厅 650万,祈福新村祈福名都 , | 5室2厅 | 163平米 | 北 | 其他 | 有电梯,低楼层(共32层)2014年建塔楼  -  ,3人关注 / 共1次带看 / 27天以前发布,
520万,单价40945元/平米,祈福新村祈福名都 4室2厅 520万,祈福新村祈福名都 , | 4室2厅 | 127平米 | 南 | 其他 | 有电梯,低楼层(共33层)2014年建塔楼  -  ,2人关注 / 共0次带看 / 27天以前发布,
420万,单价39326元/平米,广奥 电梯精装方正三房 朋友婚房诚心置换  满5税费低,广州奥林匹克花园 , | 2室2厅 | 106.8平米 | 北 | 其他 | 有电梯,中楼层(共10层)2002年建塔楼  -  ,1人关注 / 共0次带看 / 27天以前发布,
415万,单价34874元/平米,祈福新村活力花园 3室2厅 415万,祈福新村活力花园 , | 3室2厅 | 119平米 | 南 | 其他 | 有电梯,低楼层(共19层)2005年建塔楼  -  ,1人关注 / 共1次带看 / 27天以前发布,
268万,单价24908元/平米,市桥富丽园  精装四房   地铁站500米,富丽园 , | 4室2厅 | 107.6平米 | 南 | 其他 | 无电梯,低楼层(共6层)1995年建板楼  -  ,4人关注 / 共0次带看 / 27天以前发布,
275万,单价25716元/平米,尚上名筑二期 3室2厅 275万,尚上名筑二期 , | 3室2厅 | 106.94平米 | 北 | 其他,中楼层(共31层)塔楼  -  ,0人关注 / 共2次带看 / 27天以前发布,
460万,单价31637元/平米,广州碧桂园 南向望江 业主有心售,广州碧桂园康苑 , | 4室2厅 | 145.4平米 | 东北 | 其他 | 无电梯,高楼层(共6层)1998年建塔楼  -  ,0人关注 / 共2次带看 / 27天以前发布,
1000万,单价35365元/平米,锦绣半岛西区2梯2户大5室 一线江景 南北通透,锦绣半岛西区 , | 5室2厅 | 282.77平米 | 南 北 | 精装 | 有电梯,低楼层(共26层)2009年建塔楼  -  ,0人关注 / 共3次带看 / 27天以前发布,
360万,单价29703元/平米,富华花园 4室2厅 360万,富华花园 , | 4室2厅 | 121.2平米 | 南 | 其他 | 有电梯,中楼层(共22层)1998年建塔楼  -  ,1人关注 / 共1次带看 / 27天以前发布,
425万,单价40133元/平米,精修三房 客厅出阳台 安静采光好 业主自住,广州奥林匹克花园 , | 3室2厅 | 105.9平米 | 北 | 其他 | 有电梯,高楼层(共12层)2002年建塔楼  -  ,0人关注 / 共0次带看 / 26天以前发布,
355万,单价34804元/平米,番禺祈福新村湖景居2街一楼诚意放卖,祈福新村湖景居 , | 3室2厅 | 102平米 | 北 | 其他 | 无电梯,低楼层(共4层)1995年建板楼  -  ,0人关注 / 共1次带看 / 26天以前发布,
590万,单价33240元/平米,东瀚园 6室2厅 590万,东瀚园 , | 6室2厅 | 177.5平米 | 东 西 | 其他,高楼层(共9层)2003年建塔楼  -  ,1人关注 / 共0次带看 / 26天以前发布,
700万,单价38788元/平米,四层复式 带车位6+1户型 送大花园,南国奥林匹克花园 , | 6室2厅 | 180.47平米 | 南 | 其他 | 无电梯,低楼层(共6层)2006年建板楼  -  ,3人关注 / 共0次带看 / 23天以前发布,
299万,单价24113元/平米,吉祥北园 3室2厅 299万,吉祥北园 , | 3室2厅 | 124平米 | 南 | 精装 | 无电梯,高楼层(共7层)1993年建塔楼  -  ,4人关注 / 共0次带看 / 22天以前发布,
400万,单价33058元/平米,南浦海滨花园 3室2厅 400万,南浦海滨花园 , | 3室2厅 | 121平米 | 南 北 | 其他,中楼层(共4层)1998年建板楼  -  ,1人关注 / 共0次带看 / 22天以前发布,
400万,单价34104元/平米,海晴居 南向 四房 读书的就在小区门口 送大阳台,祈福新村海晴居 , | 4室2厅 | 117.29平米 | 南 | 其他 | 无电梯,高楼层(共6层)2003年建板楼  -  ,3人关注 / 共1次带看 / 21天以前发布,
545万,单价45042元/平米,丽江花园左岸 3室2厅 545万,丽江花园左岸 , | 3室2厅 | 121平米 | 东南 | 其他 | 有电梯,高楼层(共16层)2003年建塔楼  -  ,1人关注 / 共0次带看 / 21天以前发布,
374万,单价17900元/平米,庄士映蝶蓝湾一期 南向 精装大四房,庄士映蝶蓝湾一期 , | 4室2厅 | 208.95平米 | 东南 | 简装 | 有电梯,低楼层(共17层)塔楼  -  ,5人关注 / 共0次带看 / 20天以前发布,
430万,单价23965元/平米,广地花园，大五房 采光通风好 环境好,广地花园 , | 5室2厅 | 179.43平米 | 南 | 精装 | 无电梯,高楼层(共6层)2006年建塔楼  -  ,2人关注 / 共0次带看 / 20天以前发布,
1500万,单价49555元/平米,广州星河湾星座 4室4厅 1500万,广州星河湾星座 , | 4室4厅 | 302.7平米 | 南 北 | 其他 | 有电梯,高楼层(共18层)2001年建塔楼  -  ,3人关注 / 共0次带看 / 19天以前发布,
140万,单价16667元/平米,敏捷华美国际 2室1厅 140万,敏捷华美国际 , | 2室1厅 | 84平米 | 北 | 其他 | 有电梯,低楼层(共26层)塔楼  -  ,0人关注 / 共1次带看 / 7天以前发布,
325万,单价28020元/平米,毛坯未装修，电梯房，通风采光不错，格局方正。。。。,星尚花园 , | 3室2厅 | 115.99平米 | 南 | 其他,中楼层(共26层)塔楼  -  ,1人关注 / 共0次带看 / 2天以前发布,
86万,单价14823元/平米,敏捷上品 复式公寓 loft自改 精装修房 交通出行便利,敏捷上品公馆 , | 1室1厅 | 58.02平米 | 北 | 精装 | 有电梯,中楼层(共21层)塔楼  -  ,74人关注 / 共3次带看 / 2个月以前发布,
360万,单价28347元/平米,奥林匹克花园 三房出售 户型方正,番禺奥林匹克花园 , | 3室2厅 | 127平米 | 南 | 毛坯 | 有电梯,中楼层(共11层)1990年建塔楼  -  ,20人关注 / 共3次带看 / 9个月以前发布,
210万,单价28572元/平米,祈福新湖景居 南向两房 带大楼台 满五唯一免个税,祈福新村湖景居 , | 2室2厅 | 73.5平米 | 南 | 精装 | 无电梯,高楼层(共4层)1995年建板楼  -  ,24人关注 / 共2次带看 / 7个月以前发布,
230万,单价29537元/平米,番禺海伦堡 温馨两房 带主套 南向阳台,番禺海伦堡 , | 2室2厅 | 77.87平米 | 南 | 其他 | 有电梯,低楼层(共18层)2005年建塔楼  -  ,14人关注 / 共1次带看 / 4个月以前发布,
145万,单价27630元/平米,祈福新村C区 温馨两房 业主诚心出售,祈福新村C区 , | 2室2厅 | 52.48平米 | 北 | 简装 | 无电梯,中楼层(共4层)1995年建板楼  -  ,47人关注 / 共1次带看 / 5个月以前发布,
300万,单价24794元/平米,祈福水城 121方南向园景大三房 精装修,祈福水城 , | 3室2厅 | 121平米 | 南 | 其他 | 有电梯,中楼层(共11层)2008年建塔楼  -  ,204人关注 / 共4次带看 / 11个月以前发布,
275万,单价56203元/平米,万科金色城品 48方LOFT户型,万科金色城品 , | 3室2厅 | 48.93平米 | 北 | 精装 | 有电梯,中楼层(共8层)2010年建塔楼  -  ,22人关注 / 共1次带看 / 6个月以前发布,
152万,单价26667元/平米,祈福新村E区 精装两房 满五年,祈福新村E区 , | 2室2厅 | 57平米 | 南 | 精装 | 无电梯,中楼层(共4层)1995年建板楼  -  ,38人关注 / 共1次带看 / 6个月以前发布,
335万,单价30865元/平米,祈福新村晓峰园 3室2厅 335万,祈福新村晓峰园 , | 3室2厅 | 108.54平米 | 东北 | 精装 | 有电梯,高楼层(共35层)2005年建塔楼  -  ,8人关注 / 共2次带看 / 4个月以前发布,
220万,单价29140元/平米,海滨花园 3室1厅 220万,海滨花园 , | 3室1厅 | 75.5平米 | 西北 | 其他 | 无电梯,低楼层(共8层)1998年建塔楼  -  ,25人关注 / 共1次带看 / 4个月以前发布,
245万,单价27147元/平米,中间楼层 采光视野广 中间位置,亚运城运动员村二区 , | 2室1厅 | 90.25平米 | 北 | 精装 | 有电梯,中楼层(共14层)塔楼  -  ,32人关注 / 共0次带看 / 4个月以前发布,
205万,单价26479元/平米,格局方正 带装修，保养好，小区环境好,祈福水城 , | 2室2厅 | 77.42平米 | 北 | 精装 | 有电梯,中楼层(共11层)2008年建塔楼  -  ,13人关注 / 共2次带看 / 3个月以前发布,
320万,单价36241元/平米,保养好  位置好   人车分流,华南碧桂园翠宏台 , | 2室2厅 | 88.3平米 | 南 | 精装 | 无电梯,中楼层(共7层)2001年建塔楼  -  ,9人关注 / 共2次带看 / 3个月以前发布,
283万,单价31045元/平米,花样年华二期单证 电梯三房改两房,番禺海伦堡花样年华二期 , | 2室2厅 | 91.16平米 | 东北 | 精装 | 有电梯,高楼层(共17层)2005年建塔楼  -  ,7人关注 / 共4次带看 / 3个月以前发布,
422万,单价24971元/平米,满五唯一 南向 大五房 四阳台视野广阔,南国奥林匹克花园 , | 5室2厅 | 169平米 | 南 | 精装 | 无电梯,高楼层(共6层)2006年建板楼  -  ,35人关注 / 共9次带看 / 3个月以前发布,
380万,单价38027元/平米,此房为小区中间位置，方正户型，带入户花园！,广州雅居乐花园一尺山居 , | 3室2厅 | 99.93平米 | 西南 | 简装 | 有电梯,低楼层(共23层)2010年建塔楼  -  ,25人关注 / 共0次带看 / 3个月以前发布,
163万,单价20274元/平米,如意二马路 3室1厅 163万,如意二马路 , | 3室1厅 | 80.4平米 | 南 | 简装 | 无电梯,高楼层(共7层)板楼  -  ,6人关注 / 共2次带看 / 3个月以前发布,
230万,单价33142元/平米,芳华花园洛湖居 2室2厅 230万,芳华花园洛湖居 , | 2室2厅 | 69.4平米 | 北 东北 | 精装 | 无电梯,高楼层(共6层)1999年建塔楼  -  ,15人关注 / 共0次带看 / 3个月以前发布,
460万,单价37399元/平米,锦绣银湾有钥匙，中间楼层。满五年。诚意出售,锦绣银湾 , | 3室2厅 | 123平米 | 东南 东北 | 精装 | 有电梯,中楼层(共28层)2007年建塔楼  -  ,4人关注 / 共5次带看 / 3个月以前发布,
210万,单价26516元/平米,环境优美，交通方便，配套设施好。,祈福新村湖景居 , | 3室2厅 | 79.2平米 | 北 | 简装 | 无电梯,中楼层(共4层)1995年建板楼  -  ,8人关注 / 共3次带看 / 2个月以前发布,
240万,单价33241元/平米,洛涛居北区  方正小三房 中间楼层,芳华花园洛涛居 , | 3室1厅 | 72.2平米 | 东南 | 简装 | 无电梯,中楼层(共6层)1999年建塔楼  -  ,26人关注 / 共3次带看 / 2个月以前发布,
420万,单价35739元/平米,南国奥林匹克花园悉尼区 电梯高层 南北对流,南国奥林匹克花园 , | 3室2厅 | 117.52平米 | 西北 | 简装 | 有电梯,高楼层(共17层)2006年建塔楼  -  ,13人关注 / 共6次带看 / 2个月以前发布,
380万,单价39176元/平米,广雅 一尺山居 业主自己装修 很少住 证满五年唯一,广州雅居乐花园一尺山居 , | 3室2厅 | 97平米 | 南 | 精装 | 有电梯,高楼层(共23层)2010年建塔楼  -  ,36人关注 / 共3次带看 / 2个月以前发布,
330万,单价30000元/平米,滨江绿园 温馨三房 北向望花园 产权清晰 交通便利,滨江绿园 , | 3室2厅 | 110平米 | 北 | 精装 | 有电梯,低楼层(共11层)2004年建塔楼  -  ,3人关注 / 共2次带看 / 2个月以前发布,
330万,单价30179元/平米,金海岸一期 实用三房  电梯楼  业主诚心,金海岸花园金石碧苑 , | 3室2厅 | 109.35平米 | 南 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,4人关注 / 共1次带看 / 2个月以前发布,
208万,单价24792元/平米,东华花园 两房户型 免个税 装修保养好,东华花园 , | 2室2厅 | 83.9平米 | 东 西 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,54人关注 / 共4次带看 / 1个月以前发布,
165万,单价21968元/平米,大石侨苑 混合结构 精装修对流两房 楼层适中 采光好,富丽家园侨苑 , | 2室2厅 | 75.11平米 | 南 | 简装 | 无电梯,低楼层(共7层)1995年建塔楼  -  ,18人关注 / 共4次带看 / 1个月以前发布,
215万,单价34578元/平米,滨江绿园 2室2厅 215万,滨江绿园 , | 2室2厅 | 62.18平米 | 东南 | 精装 | 有电梯,高楼层(共11层)2004年建塔楼  -  ,18人关注 / 共4次带看 / 1个月以前发布,
305万,单价29327元/平米,桥南华荟南景园 电梯高层 采光好 南向刚需3房,华荟南景园 , | 3室2厅 | 104平米 | 东南 | 精装 | 有电梯,高楼层(共16层)2002年建塔楼  -  ,2人关注 / 共3次带看 / 1个月以前发布,
415万,单价38771元/平米,广州雅居乐花园剑桥郡 3室2厅 415万,广州雅居乐花园剑桥郡 , | 3室2厅 | 107.04平米 | 西南 | 精装 | 有电梯,高楼层(共29层)2010年建塔楼  -  ,22人关注 / 共17次带看 / 1个月以前发布,
145万,单价27442元/平米,复式电梯精装 单边位高楼层视野好,奥园城市天地 , | 3室1厅 | 52.84平米 | 东北 | 精装 | 有电梯,中楼层(共22层)2015年建塔楼  -  ,299人关注 / 共7次带看 / 3个月以前发布,
190万,单价24510元/平米,随时方便看房  高楼层  标准两房  朝小区里面,尚上名筑一区 , | 2室1厅 | 77.52平米 | 北 | 精装,高楼层(共29层)2017年建塔楼  -  ,65人关注 / 共4次带看 / 2个月以前发布,
415万,单价37274元/平米,大石新月明珠 钻石大三房 地铁50米 正南向望花园,新月明珠花园 , | 3室2厅 | 111.34平米 | 南 | 精装 | 有电梯,中楼层(共23层)2007年建塔楼  -  ,16人关注 / 共0次带看 / 4个月以前发布,
255万,单价26831元/平米,雍逸华庭 电梯三房带主套 装修好,雍逸华庭 , | 3室2厅 | 95.04平米 | 北 | 精装 | 有电梯,低楼层(共11层)2011年建塔楼  -  ,63人关注 / 共4次带看 / 3个月以前发布,
90万,单价22038元/平米,星海国际 1室1厅 90万,星海国际 , | 1室1厅 | 40.84平米 | 南 | 其他,中楼层(共9层)塔楼  -  ,3人关注 / 共0次带看 / 3个月以前发布,
260万,单价23714元/平米,谷围新村 3室2厅 260万,谷围新村 , | 3室2厅 | 109.64平米 | 南 | 其他 | 无电梯,高楼层(共6层)塔楼  -  ,19人关注 / 共2次带看 / 2个月以前发布,
200万,单价23810元/平米,北丽园 3室1厅 200万,北丽园 , | 3室1厅 | 84平米 | 东南 | 其他 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,11人关注 / 共2次带看 / 2个月以前发布,
118万,单价18583元/平米,大北路前进大街 2室1厅 118万,大北路前进大街 , | 2室1厅 | 63.5平米 | 南 | 其他 | 无电梯,高楼层(共5层)板楼  -  ,50人关注 / 共1次带看 / 2个月以前发布,
268万,单价24531元/平米,桥南小区 朗陶居 低楼层 装修新,朗陶居 , | 3室2厅 | 109.25平米 | 南 | 其他 | 无电梯,低楼层(共7层)2001年建塔楼  -  ,5人关注 / 共1次带看 / 1个月以前发布,
199万,单价23006元/平米,过五唯一，无按揭，新装修，房子装修保养好。,富丽家园福泰园 , | 3室2厅 | 86.5平米 | 南 北 | 其他 | 无电梯,中楼层(共8层)1995年建塔楼  -  ,7人关注 / 共2次带看 / 1个月以前发布,
153万,单价29424元/平米,倚湖湾  南向精装修一房一厅 满5年唯一 无按揭,祈福新村倚湖湾 , | 1室1厅 | 52平米 | 南 | 其他 | 有电梯,低楼层(共33层)2006年建塔楼  -  ,10人关注 / 共1次带看 / 27天以前发布,
300万,单价28302元/平米,祈福新村康怡居 4室2厅 300万,祈福新村康怡居 , | 4室2厅 | 106平米 | 西 北 | 其他 | 无电梯,高楼层(共6层)2002年建板楼  -  ,1人关注 / 共1次带看 / 27天以前发布,
366万,单价30000元/平米,祈福新村青怡居 4室2厅 366万,祈福新村青怡居 , | 4室2厅 | 122平米 | 北 | 其他 | 无电梯,低楼层(共5层)1995年建板楼  -  ,1人关注 / 共1次带看 / 27天以前发布,
232万,单价34320元/平米,祈福新村蝶舞轩 2室1厅 232万,祈福新村蝶舞轩 , | 2室1厅 | 67.6平米 | 南 | 其他 | 无电梯,中楼层(共6层)2002年建板楼  -  ,2人关注 / 共1次带看 / 20天以前发布,
125万,单价21187元/平米,荷景花园一区 2室2厅 125万,荷景花园一区 , | 2室2厅 | 59平米 | 南 | 其他 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,1人关注 / 共8次带看 / 16天以前发布,
55万,单价15278元/平米,奥园养生广场 电梯 精装单身公寓,奥园养生广场 , | 1室1厅 | 36平米 | 西南 | 简装 | 有电梯,低楼层(共29层)2012年建塔楼  -  ,10人关注 / 共0次带看 / 7个月以前发布,
390万,单价29148元/平米,锦绣生态园 电梯4房出售,锦绣生态园水云居 , | 4室2厅 | 133.8平米 | 东南 | 其他 | 有电梯,低楼层(共17层)2001年建塔楼  -  ,4人关注 / 共0次带看 / 5个月以前发布,
248万,单价26899元/平米,东怡新区 精致三房 格局方正 近地铁 业主诚心出售,东怡新区东倩园 , | 3室2厅 | 92.2平米 | 南 | 简装 | 无电梯,高楼层(共7层)2000年建塔楼  -  ,39人关注 / 共0次带看 / 6个月以前发布,
310万,单价24800元/平米,金晖明园 精装修三房 户型方正,金晖明园 , | 3室2厅 | 125平米 | 北 | 其他 | 无电梯,中楼层(共6层)2005年建板楼  -  ,27人关注 / 共0次带看 / 一年前发布,
158万,单价18589元/平米,柏丽甜果 精装三房 带一个车位,柏丽甜果公馆 , | 3室1厅 | 85平米 | 南 | 其他 | 有电梯,低楼层(共21层)2013年建塔楼  -  ,175人关注 / 共0次带看 / 一年前发布,
230万,单价29114元/平米,鸿城花园 电梯二房 环境优美,鸿城花园 , | 2室2厅 | 79平米 | 南 | 其他 | 有电梯,中楼层(共28层)2000年建塔楼  -  ,25人关注 / 共0次带看 / 8个月以前发布,
90万,单价17268元/平米,养生广场 一房一厅出售 中高楼层,奥园养生广场 , | 1室1厅 | 52.12平米 | 东北 | 其他 | 有电梯,中楼层(共29层)2012年建塔楼  -  ,38人关注 / 共0次带看 / 一年前发布,
180万,单价18182元/平米,禺丰园 方正实用三房,禺丰园一期 , | 3室1厅 | 99平米 | 东 | 其他 | 无电梯,中楼层(共8层)塔楼  -  ,20人关注 / 共0次带看 / 7个月以前发布,
300万,单价30046元/平米,市桥南 君华香柏华府 四房带前后大露台,君华香柏华府 , | 4室2厅 | 99.85平米 | 南 | 其他,低楼层(共6层)板楼  -  ,20人关注 / 共0次带看 / 一年前发布,
238万,单价30592元/平米,富丽居 小区环境好 格局方正,富丽居 , | 2室2厅 | 77.8平米 | 东南 | 精装 | 无电梯,中楼层(共8层)暂无数据  -  ,11人关注 / 共0次带看 / 4个月以前发布,
328万,单价27334元/平米,裕福花园，电梯中层，大三房出,裕福花园 , | 3室2厅 | 120平米 | 西北 | 精装 | 有电梯,高楼层(共19层)2003年建塔楼  -  ,5人关注 / 共1次带看 / 一年前发布,
308万,单价28000元/平米,鸣翠苑 低楼层 交通方便,鸣翠苑 , | 3室2厅 | 110平米 | 西北 | 其他 | 无电梯,低楼层(共6层)2001年建塔楼  -  ,16人关注 / 共0次带看 / 8个月以前发布,
230万,单价27812元/平米,华荟南景园 东向望园景,华荟南景园 , | 2室2厅 | 82.7平米 | 东 | 简装 | 无电梯,中楼层(共6层)2002年建板楼  -  ,10人关注 / 共0次带看 / 7个月以前发布,
378万,单价27000元/平米,富华花园 地铁三号线市桥站 精装3房,富华花园 , | 3室2厅 | 140平米 | 北 | 其他 | 有电梯,低楼层(共22层)1998年建塔楼  -  ,9人关注 / 共1次带看 / 7个月以前发布,
240万,单价21345元/平米,精装三房 中间楼层,富华西路 , | 3室1厅 | 112.44平米 | 南 | 其他,中楼层(共7层)板楼  -  ,44人关注 / 共0次带看 / 6个月以前发布,
200万,单价22599元/平米,珠殿苑 温馨3房 配套完善,珠殿苑北区 , | 3室1厅 | 88.5平米 | 南 | 简装 | 无电梯,中楼层(共7层)1996年建塔楼  -  ,15人关注 / 共0次带看 / 6个月以前发布,
